Designator,Mid X,Mid Y,Rotation,Layer
C1,139.225,-73.405,180.0,top
C10,144.55,-92.4,180.0,top
C11,139.25,-98.0,180.0,top
C12,151.05,-100.2,180.0,bottom
C13,151.95,-98.3,180.0,bottom
C14,146.45,-104.8,0.0,bottom
C15,145.65,-102.9,0.0,bottom
C16,139.225,-60.905,180.0,top
C17,150.025,-62.905,0.0,top
C18,150.825,-61.005,0.0,top
C19,145.425,-69.405,180.0,top
C2,150.025,-75.405,0.0,top
C20,144.625,-67.505,180.0,top
C3,150.825,-73.505,0.0,top
C4,145.425,-81.905,180.0,top
C5,144.625,-80.005,180.0,top
C6,139.15,-85.8,180.0,top
C7,149.95,-87.8,0.0,top
C8,150.75,-85.9,0.0,top
C9,145.35,-94.3,180.0,top
J1,155.36,-105.7,270.0,top
J2,124.525,-76.305,90.0,top
J3,165.525,-76.305,270.0,top
J4,124.45,-88.7,90.0,top
J5,165.45,-88.7,270.0,top
J6,124.55,-100.9,90.0,top
J7,165.55,-100.9,270.0,top
J8,124.525,-63.805,90.0,top
J9,165.525,-63.805,270.0,top
R1,136.825,-77.305,90.0,top
R10,149.95,-89.5,0.0,top
R11,136.85,-101.9,90.0,top
R12,139.25,-101.0,0.0,top
R13,139.25,-102.5,180.0,top
R14,139.25,-99.5,180.0,top
R15,150.05,-101.7,0.0,top
R16,136.825,-64.805,90.0,top
R17,139.225,-63.905,0.0,top
R18,139.225,-65.405,180.0,top
R19,139.225,-62.405,180.0,top
R2,139.225,-76.405,0.0,top
R20,150.025,-64.605,0.0,top
R3,139.225,-77.905,180.0,top
R4,139.225,-74.905,180.0,top
R5,150.025,-77.105,0.0,top
R6,136.75,-89.7,90.0,top
R7,139.15,-88.8,0.0,top
R8,139.15,-90.3,180.0,top
R9,139.15,-87.3,180.0,top
U1,144.625,-76.405,270.0,top
U2,144.55,-88.8,270.0,top
U3,144.65,-101.0,270.0,top
U4,144.625,-63.905,270.0,top
